Incubation people	Prodromal people	Illness people	Dead people	Susceptible people	Susceptible customers	Incubation customers	Prodromal customers	Infected by cashier
1751	609	0	0	977	73	129	48	0
1448	694	218	0	977	94	122	66	0
1173	738	430	0	996	83	121	71	0
951	729	627	0	1030	108	73	75	0
770	678	821	0	1068	105	81	64	0
633	613	958	2	1131	124	93	68	0
531	543	1069	2	1192	127	57	65	0
438	460	1182	2	1255	122	45	48	0
441	393	1239	2	1262	109	116	46	75
379	364	1260	2	1332	161	70	42	23
311	326	1286	3	1411	178	33	46	0
255	293	1288	4	1497	180	39	31	0
222	246	1289	4	1576	199	46	34	13
242	206	1264	4	1621	147	75	25	56
184	205	1241	5	1702	194	25	14	0
157	164	1228	5	1783	228	26	26	0
120	149	1195	6	1867	243	16	18	0
106	123	1170	6	1932	237	17	18	5
118	97	1141	6	1975	212	33	13	25
90	102	1078	7	2060	266	16	12	0
104	68	1064	8	2093	197	35	13	22
201	78	1012	9	2037	101	134	6	125
301	103	963	9	1961	100	170	10	149
377	139	920	9	1892	91	171	16	145
449	158	910	10	1810	98	159	13	137
490	199	905	11	1732	77	166	19	134
520	227	915	12	1663	103	181	14	135
484	249	922	12	1670	125	101	24	64
398	244	948	13	1734	163	37	25	0
338	248	951	14	1786	197	50	32	15
386	229	975	14	1733	95	151	21	114
421	243	976	15	1682	80	152	34	123
378	240	1004	15	1700	146	82	25	41
431	229	1009	16	1652	94	163	31	126
450	237	1017	16	1617	84	138	28	105
387	256	1038	18	1638	153	55	22	32
417	250	1063	18	1589	97	144	30	117
407	261	1073	21	1575	120	114	35	78
323	262	1069	21	1662	192	40	24	0
264	234	1082	22	1735	206	29	27	0
218	204	1084	23	1808	226	36	27	0
184	187	1074	25	1867	200	26	16	0
148	159	1045	26	1959	209	10	17	0
117	145	1009	27	2039	235	23	22	0
185	114	976	28	2034	151	104	15	81
292	112	939	29	1965	112	147	9	140
370	145	910	30	1882	84	177	10	145
432	189	894	30	1792	96	184	14	152
458	201	904	30	1744	80	144	21	112
438	220	912	30	1737	113	107	16	72
359	234	915	30	1799	233	27	20	0
297	211	935	30	1864	228	31	19	0
251	183	954	31	1918	219	22	26	0
323	159	963	32	1860	103	132	21	108
394	170	953	32	1788	88	177	24	137
400	201	945	32	1759	92	123	29	101
319	223	940	33	1822	173	40	24	0
263	208	947	33	1886	235	26	16	0
287	192	953	33	1872	179	86	15	70
349	195	957	33	1803	97	139	25	121
372	219	946	34	1766	79	141	25	108
392	226	947	36	1736	115	133	39	93
393	237	936	36	1735	101	117	28	76
425	264	935	37	1676	83	140	20	117
493	266	954	37	1587	80	179	21	152
493	285	975	38	1546	86	152	36	107
495	277	1011	38	1516	74	143	37	95
491	257	1042	39	1508	92	131	22	72
469	276	1045	39	1508	128	108	34	65
470	281	1079	39	1468	78	137	24	100
475	292	1086	39	1445	62	135	29	103
465	276	1111	39	1446	105	130	29	76
383	268	1138	39	1509	189	46	29	0
432	245	1147	39	1474	70	148	27	114
346	258	1132	40	1561	165	32	38	1
355	254	1138	41	1549	134	110	29	83
381	250	1142	42	1522	84	137	22	101
405	248	1145	42	1497	53	128	32	104
427	250	1151	42	1467	83	145	37	105
452	262	1165	43	1415	85	154	28	120
463	268	1177	48	1381	69	138	38	101
466	271	1178	50	1372	100	122	29	92
384	284	1170	50	1449	190	42	41	0
314	278	1168	51	1526	184	33	29	0
257	258	1143	53	1626	159	26	32	0
208	229	1138	54	1708	204	27	34	0
174	207	1113	54	1789	205	29	36	0
141	177	1104	54	1861	202	23	27	0
116	153	1067	55	1946	206	21	22	0
95	128	1043	55	2016	266	7	15	0
78	102	1025	56	2076	240	6	8	0
63	90	988	58	2138	214	5	8	0
54	67	951	58	2207	270	6	10	0
51	53	889	59	2285	263	6	11	0
46	45	844	59	2343	254	5	7	0
40	40	793	60	2404	253	4	8	0
133	33	753	60	2358	199	102	2	100
249	55	709	60	2264	98	159	5	151
194	92	681	62	2308	228	9	5	0
158	96	677	62	2344	274	10	10	0
